상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
22671826,정연약국,S02A01,약국,서울특별시,11680,강남구,1168065500,도곡1동,952,,서울특별시 강남구 도곡동 952,127.033517665358,37.4864650008238,S02A01,443002.44343090476,202964.34937642518,1001037.0
24610896,헤어바이리나,F01A01,여성미용실,서울특별시,11680,강남구,1168065000,역삼2동,782,41.0,서울특별시 강남구 역삼동 782-41,127.041950266458,37.49376917375321,F01A01,443813.4095475618,203709.7792398016,1000904.0
21052927,LOCK&LOCKPLUS,D07A02,주방용품,서울특별시,11680,강남구,1168063000,대치4동,937,,서울특별시 강남구 대치동 937,127.05325256561702,37.496959928714,D07A02,444168.0471794978,204709.072843834,1001071.0
23459138,슌스스토리,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168056500,청담동,9,,서울특별시 강남구 청담동 9,127.047865632096,37.5221912223454,Q06A01,446968.14262270555,204231.28701785888,1000918.0
25339264,불루인법원경매,L01A01,부동산중개,서울특별시,11680,강남구,1168063000,대치4동,889,65.0,서울특별시 강남구 대치동 889-65,127.050218674857,37.5034502132565,L01A01,444888.2372642956,204440.40445044823,1001082.0
21035850,노블하우스원룸,O05A01,민박/하숙,서울특별시,11680,강남구,1168063000,대치4동,903,7.0,서울특별시 강남구 대치동 903-7,127.056714335317,37.5031598611261,O05A01,444856.33822257584,205014.77916785458,1000923.0
20849819,사이버파크,N01A01,인터넷PC방,서울특별시,11680,강남구,1168064000,역삼1동,818,1.0,서울특별시 강남구 역삼동 818-1,127.028053870075,37.49972877399279,N01A01,444474.3906204193,202480.6849198776,1001085.0
20701464,강가사가르,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168064000,역삼1동,679,,서울특별시 강남구 역삼동 679,127.037277378321,37.5018857412981,Q06A01,444714.06914210785,203296.18589933618,1001081.0
24856996,피에스앤마케팅,D18A02,핸드폰소매,서울특별시,11680,강남구,1168054500,압구정동,614,3.0,서울특별시 강남구 신사동 614-3,127.030122976287,37.527741497126996,D18A02,447583.5036584325,202662.65184872906,1001140.0
21959457,한국예복,D05A12,예복/웨딩드레스,서울특별시,11680,강남구,1168052100,논현1동,10,10.0,서울특별시 강남구 논현동 10-10,127.026381592178,37.517898262308606,D05A12,446490.9285977725,202332.24710083453,1000898.0
22191908,까십네일,F01A02,발/네일케어,서울특별시,11680,강남구,1168063000,대치4동,897,4.0,서울특별시 강남구 대치동 897-4,127.05046688883499,37.502605216093,F01A02,444794.4652156662,204462.4021648208,1001082.0
23653861,뽀르게따,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.05913910242799,37.5118203253706,Q06A01,445817.67080808943,205228.57719958626,1001103.0
23993131,압구정아찌네슈퍼,D03A02,수퍼마켓,서울특별시,11680,강남구,1168054500,압구정동,455,,서울특별시 강남구 압구정동 455,127.029167160944,37.5325272323373,D03A02,448114.6343345754,202578.00001017924,1001140.0
24293990,영산,D01A13,청과물소매,서울특별시,11680,강남구,1168063000,대치4동,916,27.0,서울특별시 강남구 대치동 916-27,127.05652520113199,37.5011129522784,D01A13,444629.14770253235,204998.1920415628,1000922.0
20864100,무앙,Q08A01,제과점,서울특별시,11680,강남구,1168060000,대치1동,500,,서울특별시 강남구 대치동 500,127.05612478815901,37.490693529306,Q08A01,443472.7062917622,204963.47539983416,1001054.0
20027410,미니스톱,D03A01,편의점,서울특별시,11680,강남구,1168054500,압구정동,655,15.0,서울특별시 강남구 신사동 655-15,127.037966376151,37.524868221529005,D03A01,447264.8568112417,203356.0800476497,1001141.0
20767450,빈,D05A03,여성의류전문점,서울특별시,11680,강남구,1168054500,압구정동,661,8.0,서울특별시 강남구 신사동 661-8,127.039450090432,37.5273852222376,D05A03,447544.2664879849,203487.1174647158,1001141.0
20051711,탠저린,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168053100,논현2동,80,10.0,서울특별시 강남구 논현동 80-10,127.030279827741,37.516497659064896,Q12A01,446335.5831115199,202676.91806021036,1000907.0
24328149,이리스,D05A01,일반의류,서울특별시,11680,강남구,1168056500,청담동,12,20.0,서울특별시 강남구 청담동 12-20,127.046638571619,37.5226048185582,D05A01,447013.99213392194,204122.79300061573,1000918.0
24534388,젬마,D05A02,캐쥬얼/스포츠의류,서울특별시,11680,강남구,1168064000,역삼1동,648,,서울특별시 강남구 역삼동 648,127.03096816032301,37.500005011740605,D05A02,444505.13023113506,202738.3731827197,1001085.0
20090604,던킨도너츠,Q07A06,도너츠전문,서울특별시,11680,강남구,1168064000,역삼1동,825,,서울특별시 강남구 역삼동 825,127.028564755794,37.497831750028794,Q07A06,444263.8591766991,202525.924279435,1001066.0
25244946,터보힐링,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,Q12A01,444462.94300552923,205827.01075963196,1000921.0
20025028,영암집,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168052100,논현1동,138,14.0,서울특별시 강남구 논현동 138-14,127.02603090224599,37.5100652230497,Q04A01,445621.55205948465,202301.48511254648,1000938.0
22979018,현대세탁소,F02A01,세탁소/빨래방,서울특별시,11680,강남구,1168059000,삼성2동,40,8.0,서울특별시 강남구 삼성동 40-8,127.04585975143299,37.5118039073561,F02A01,445815.19355672644,204054.53057228052,1001101.0
20242964,리안스베이글,Q07A04,패스트푸드,서울특별시,11680,강남구,1168065600,도곡2동,467,17.0,서울특별시 강남구 도곡동 467-17,127.054163435442,37.4892992237675,Q07A04,443317.8550904696,204790.1094064084,1001035.0
24729069,한국패션뉴스,D05A01,일반의류,서울특별시,11680,강남구,1168053100,논현2동,227,9.0,서울특별시 강남구 논현동 227-9,127.034370592607,37.5098003055719,D05A01,445592.38625488104,203038.83770681574,1001472.0
23146374,에스테틱니시,F01A03,비만/피부관리,서울특별시,11680,강남구,1168052100,논현1동,135,11.0,서울특별시 강남구 논현동 135-11,127.027443292624,37.5119240199329,F01A03,445827.89029091224,202426.29942753556,1000938.0
25260051,조은부동산,L01A01,부동산중개,서울특별시,11680,강남구,1168054500,압구정동,661,1.0,서울특별시 강남구 신사동 661-1,127.03886633063999,37.5279120932462,L01A01,447602.7211361057,203435.4929372277,1001141.0
25033435,제이예스뷰티헬스케어샵,D16A01,화장품판매점,서울특별시,11680,강남구,1168065600,도곡2동,467,6.0,서울특별시 강남구 도곡동 467-6,127.050661376693,37.488135801144296,D16A01,443188.55806391034,204480.46357270147,1001035.0
21748650,태원시엔디,L01A01,부동산중개,서울특별시,11680,강남구,1168065600,도곡2동,420,17.0,서울특별시 강남구 도곡동 420-17,127.04504388549499,37.4843871789804,L01A01,442772.2580109602,203983.85484443695,1000901.0
24491345,박달나무한의원,S01B06,한의원,서울특별시,11680,강남구,1168063000,대치4동,936,15.0,서울특별시 강남구 대치동 936-15,127.05371510929399,37.497945786956,S01B06,444277.4878712469,204749.91269387677,1001071.0
20028975,경문,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168064000,역삼1동,828,,서울특별시 강남구 역삼동 828,127.032100426636,37.4972750860616,Q12A01,444202.1774724107,202838.5976660072,1001066.0
20023827,영성관,Q02A00,중국음식/중국집,서울특별시,11680,강남구,1168065500,도곡1동,869,,서울특별시 강남구 도곡동 869,127.042391499956,37.49109661179421,Q02A00,443516.8076555091,203748.93232825174,1000893.0
24473491,더플러스엠앤씨,D07A15,유리/페인트/철물건축자재,서울특별시,11680,강남구,1168075000,수서동,724,,서울특별시 강남구 수서동 724,127.10309432439101,37.48731103741361,D07A15,443100.80681792647,209117.70510257655,1001041.0
22517183,바니,D05A02,캐쥬얼/스포츠의류,서울특별시,11680,강남구,1168052100,논현1동,181,12.0,서울특별시 강남구 논현동 181-12,127.026236013768,37.5073367220865,D05A02,445318.7284038514,202319.70418734886,1001095.0
24277430,지식인수학학원,R01A01,학원-입시,서울특별시,11680,강남구,1168063000,대치4동,941,16.0,서울특별시 강남구 대치동 941-16,127.06027884452499,37.4994038322821,R01A01,444439.66346507194,205330.22623343507,1001069.0
25449350,수neil,F01A02,발/네일케어,서울특별시,11680,강남구,1168065600,도곡2동,467,14.0,서울특별시 강남구 도곡동 467-14,127.053197983987,37.4887418448763,F01A02,443255.9446809599,204704.76169864496,1001035.0
20590983,깐부깐부,Q05A08,후라이드/양념치킨,서울특별시,11680,강남구,1168064000,역삼1동,700,29.0,서울특별시 강남구 역삼동 700-29,127.043415258598,37.5048099718381,Q05A08,445038.853698703,203838.76735348793,1001087.0
21963732,줄리엣발코니,D05A12,예복/웨딩드레스,서울특별시,11680,강남구,1168053100,논현2동,99,21.0,서울특별시 강남구 논현동 99-21,127.03802040066002,37.5206607477736,D05A12,446797.88186472654,203361.04434328803,1000909.0
22874090,현대세탁,F02A01,세탁소/빨래방,서울특별시,11680,강남구,1168056500,청담동,65,,서울특별시 강남구 청담동 65,127.051678459231,37.52037473945809,F02A01,446766.7141503664,204568.44893422583,1000939.0
25275263,혜민약국,S02A01,약국,서울특별시,11680,강남구,1168065500,도곡1동,540,,서울특별시 강남구 도곡동 540,127.046564980713,37.49370739134649,S02A01,443806.7443789928,204117.87472572082,1000893.0
20759698,두리피아노,R05A02,피아노/바이올린/기타,서울특별시,11680,강남구,1168056500,청담동,130,7.0,서울특별시 강남구 청담동 130-7,127.055347472431,37.5245670090235,R05A02,447232.1880565635,204892.5211607221,1001131.0
20383319,취영루델리샵,Q02A00,중국음식/중국집,서울특별시,11680,강남구,1168065600,도곡2동,467,17.0,서울특별시 강남구 도곡동 467-17,127.054163435442,37.4892992237675,Q02A00,443317.8550904696,204790.1094064084,1001035.0
20797667,월드부동산,L01A01,부동산중개,서울특별시,11680,강남구,1168053100,논현2동,211,,서울특별시 강남구 논현동 211,127.03453980894699,37.5142258618626,L01A01,446083.5721364957,203053.61847822779,1001106.0
22643186,운화라이프,D16A01,화장품판매점,서울특별시,11680,강남구,1168056500,청담동,68,22.0,서울특별시 강남구 청담동 68-22,127.054581713489,37.5233895124633,D16A01,447101.4611024405,204824.9065985713,1001130.0
24596155,유비스카이학원,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,1016,5.0,서울특별시 강남구 대치동 1016-5,127.05950985754,37.497595597918895,R01A01,444238.9296423965,205262.35455691745,1000919.0
20763169,에스테틱뻬레쿠레,F01A03,비만/피부관리,서울특별시,11680,강남구,1168056500,청담동,40,31.0,서울특별시 강남구 청담동 40-31,127.041298509436,37.518209506947606,F01A03,446525.94716091594,203650.95212940432,1000925.0
22495668,중앙정보처리학원,R06A01,컴퓨터학원,서울특별시,11680,강남구,1168064000,역삼1동,826,22.0,서울특별시 강남구 역삼동 826-22,127.029236722262,37.4957197935527,R06A01,444029.4777511852,202585.41774074972,1001066.0
25394770,플레이스나인,Q07A04,패스트푸드,서울특별시,11680,강남구,1168052100,논현1동,2,7.0,서울특별시 강남구 논현동 2-7,127.02123880086,37.515837400113604,Q07A04,446262.08388741827,201877.65368547596,1000888.0
25479646,세탁맵시나라,F02A01,세탁소/빨래방,서울특별시,11680,강남구,1168060000,대치1동,626,,서울특별시 강남구 대치동 626,127.05914706933399,37.4931595049826,F02A01,443746.5609289701,205230.58319030155,1001054.0
20920718,지컷,D05A03,여성의류전문점,서울특별시,11680,강남구,1168063000,대치4동,937,,서울특별시 강남구 대치동 937,127.05325256561702,37.496959928714,D05A03,444168.0471794978,204709.072843834,1001071.0
23919306,서울공인중개사무소,L01A01,부동산중개,서울특별시,11680,강남구,1168064000,역삼1동,601,29.0,서울특별시 강남구 역삼동 601-29,127.02642726484899,37.503932314585,L01A01,444940.8876632196,202336.7201024505,1001085.0
20677137,하이리빙,D03A04,생활용품판매,서울특별시,11680,강남구,1168056500,청담동,60,,서울특별시 강남구 청담동 60,127.05044609759199,37.5229959134,D03A04,447057.57244700147,204459.35040968322,1001129.0
20080386,카푸치노스트립,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168064000,역삼1동,814,5.0,서울특별시 강남구 역삼동 814-5,127.026044486533,37.5020549661299,Q06A01,444732.5167743494,202302.93219565626,1001085.0
24106218,경희인한의원,S01B06,한의원,서울특별시,11680,강남구,1168064000,역삼1동,840,,서울특별시 강남구 역삼동 840,127.035041564727,37.4910638378811,S01B06,443512.9028527555,203098.93519640624,1000902.0
24995790,토버로니,D05A01,일반의류,서울특별시,11680,강남구,1168063000,대치4동,938,24.0,서울특별시 강남구 대치동 938-24,127.054649873493,37.49735857342539,D05A01,444212.3623830606,204832.6097479784,1001071.0
