상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
20837762,IMATH수학학원,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,606,1.0,서울특별시 강남구 대치동 606-1,127.061915291202,37.494253778109204,201001,443868.1683674073,205475.30691862712,1001053.0
20768649,올리브컬렉션,D05A03,여성의류전문점,서울특별시,11680,강남구,1168052100,논현1동,156,6.0,서울특별시 강남구 논현동 156-6,127.028716701147,37.5105468761504,701003,445675.07848499616,202538.9298841744,1000897.0
20836145,서울한국어아카데미,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168064000,역삼1동,820,5.0,서울특별시 강남구 역삼동 820-5,127.027335045646,37.499344414372295,202001,444431.7129839603,202417.1347080195,1001085.0
20838935,EPS어학윈,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168051000,신사동,528,,서울특별시 강남구 신사동 528,127.019996971086,37.5225669679779,202001,447008.95707059046,201767.70877144195,1000929.0
20840154,로고스논술,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,989,,서울특별시 강남구 대치동 989,127.06138556960501,37.498628711149394,201001,444353.69832067797,205428.14579042364,1001068.0
20824421,클로리스티롬즈,Q07A04,패스트푸드,서울특별시,11680,강남구,1168064000,역삼1동,809,3.0,서울특별시 강남구 역삼동 809-3,127.025523485327,37.503852777920706,106004,444932.03806169244,202256.80957985687,1001085.0
20824663,더3메디손에비뉴,D05A01,일반의류,서울특별시,11680,강남구,1168054500,압구정동,665,8.0,서울특별시 강남구 신사동 665-8,127.038847684039,37.5249564918584,701001,447274.68552393327,203433.98019572507,1001141.0
20823280,아로마노래방,N02A01,노래방,서울특별시,11680,강남구,1168063000,대치4동,936,9.0,서울특별시 강남구 대치동 936-9,127.053264717246,37.4977889985827,301001,444260.0637648981,204710.09532902983,1001071.0
20830638,DYB어학원,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168060000,대치1동,507,2.0,서울특별시 강남구 대치동 507-2,127.06290321902,37.49392822730611,202001,443832.0944022159,205562.6957272716,1001053.0
20835484,밤배노래방,N02A01,노래방,서울특별시,11680,강남구,1168060000,대치1동,622,,서울특별시 강남구 대치동 622,127.06020082451201,37.493897749522795,301001,443828.5554990224,205323.71807212013,1001054.0
20776219,수연기아카데미,R07A06,학원-배우/탤런트,서울특별시,11680,강남구,1168052100,논현1동,48,1.0,서울특별시 강남구 논현동 48-1,127.02184525979601,37.512706761946,203011,445914.6350617693,201931.3494321611,1001100.0
20826270,통영어부애,Q01A01,한식/백반/한정식,서울특별시,11680,강남구,1168059000,삼성2동,140,,서울특별시 강남구 삼성동 140,127.04753881913601,37.5069607731686,101001,445277.7412168635,204203.25107724484,1001084.0
20823278,한아름찬,D01A07,반찬가게,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,120011,444462.94300552923,205827.010759632,1000921.0
20819718,세계로학원,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,1023,5.0,서울특별시 강남구 대치동 1023-5,127.05754315295799,37.497507839374,201001,444229.08144493727,205088.4481855573,1000919.0
20833985,레드클럽,N01A03,당구장,서울특별시,11680,강남구,1168060000,대치1동,622,1.0,서울특별시 강남구 대치동 622-1,127.060384792992,37.493655927209204,303001,443801.7268018978,205340.0041098193,1001054.0
20834972,USC어학원,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168060000,대치1동,651,,서울특별시 강남구 대치동 651,127.057395337984,37.4921723983972,202001,443636.9091211753,205075.73821566108,1001054.0
