area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
1001352,번동북부골목시장,84,44,40,0,12,12,22,24,14,0,4,7,11,13,9,0,8,5,11,11,5
1001351,솔샘시장,109,45,64,0,13,27,41,19,9,0,3,14,17,5,6,0,10,13,24,14,3
1001349,방천골목시장,77,28,49,0,11,14,20,21,11,0,1,3,6,11,7,0,10,11,14,10,4
1001347,석관황금시장,78,26,52,0,3,10,23,20,22,0,1,6,10,5,4,0,2,4,13,15,18
1001343,장위전통시장,190,76,114,1,20,41,56,46,26,0,9,14,17,18,18,1,11,27,39,28,8
1001340,정릉시장,37,13,24,0,8,6,10,9,4,0,1,3,5,2,2,0,7,3,5,7,2
1001339,정릉아리랑시장,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1001338,돈암제일시장,52,19,33,2,10,6,18,7,9,2,2,2,5,3,5,0,8,4,13,4,4
1001336,우림골목시장,218,108,110,0,13,31,52,54,68,0,5,12,22,26,43,0,8,19,30,28,25
1001335,묵1동도깨비시장,290,125,165,0,35,52,79,89,35,0,9,22,33,41,20,0,26,30,46,48,15
1001334,태능시장,3,1,2,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
1001333,중화제일시장,22,1,21,0,8,1,4,6,3,0,0,0,0,1,0,0,8,1,4,5,3
1001332,사가정시장,245,172,73,0,21,26,38,80,80,0,3,12,22,60,75,0,18,14,16,20,5
1001330,동원시장,72,35,37,0,9,17,22,13,11,0,3,9,10,6,7,0,6,8,12,7,4
1001329,동부골목시장,105,37,68,0,29,20,19,19,18,0,9,4,5,7,12,0,20,16,14,12,6
1001326,회기시장,114,52,62,0,15,34,31,16,18,0,5,15,18,4,10,0,10,19,13,12,8
1001323,답십리시장,31,10,21,0,3,5,14,8,1,0,1,0,7,1,1,0,2,5,7,7,0
1001321,답십리현대시장,98,79,19,0,15,21,33,15,14,0,10,18,29,9,13,0,5,3,4,6,1
1001319,청량리종합시장,10,6,4,0,1,3,0,4,2,0,1,2,0,1,2,0,0,1,0,3,0
1001317,청량리농수산물시장,21,16,5,0,1,4,5,6,5,0,0,4,4,4,4,0,1,0,1,2,1
1001316,서울약령시장,1319,793,526,2,125,220,323,376,273,2,59,130,195,228,179,0,66,90,128,148,94
1001313,청량리수산시장,227,115,112,0,44,55,56,31,41,0,13,25,32,14,31,0,31,30,24,17,10
1001310,구의시장,132,80,52,0,14,17,26,46,29,0,3,11,17,26,23,0,11,6,9,20,6
1001309,조양시장,91,48,43,0,6,10,32,27,16,0,1,3,16,13,15,0,5,7,16,14,1
1001308,영동교골목시장,18,12,6,0,1,5,5,2,5,0,0,5,3,1,3,0,1,0,2,1,2
1001307,능동로골목시장,275,240,35,0,9,16,10,23,217,0,2,14,3,14,207,0,7,2,7,9,10
1001304,자양골목시장,97,51,46,0,8,13,21,35,20,0,5,4,11,18,13,0,3,9,10,17,7
1001301,중곡제일시장,130,65,65,1,11,23,27,44,24,1,3,11,11,22,17,0,8,12,16,22,7
1001299,한아름시장,174,93,81,2,49,33,43,31,16,0,24,25,28,11,5,2,25,8,15,20,11
1001298,성동용답상가시장,312,155,157,0,56,75,68,71,42,0,24,30,37,32,32,0,32,45,31,39,10
1001297,뚝도시장,35,14,21,0,2,7,12,8,6,0,1,4,4,1,4,0,1,3,8,7,2
1001296,금남시장,29,13,16,0,3,7,2,7,10,0,1,5,1,2,4,0,2,2,1,5,6
1001295,행당시장,257,122,135,0,43,70,80,47,17,0,10,36,44,21,11,0,33,34,36,26,6
1001294,마장축산물시장,1516,1018,498,1,154,397,426,337,201,1,108,278,281,224,126,0,46,119,145,113,75
1001289,용문전통시장,41,20,21,0,2,6,12,14,7,0,1,3,5,6,5,0,1,3,7,8,2
1001286,후암시장,48,19,29,0,2,9,9,18,10,0,1,4,3,5,6,0,1,5,6,13,4
1001285,합동(새벽)시장,2365,1366,999,6,360,711,590,383,315,1,124,302,339,303,297,5,236,409,251,80,18
1001284,서울중앙시장,278,184,94,0,30,78,70,73,27,0,14,55,45,48,22,0,16,23,25,25,5
1001283,백학시장,463,238,225,0,63,144,110,103,43,0,26,71,61,48,32,0,37,73,49,55,11
1001282,약수시장,1786,703,1083,9,281,404,424,373,295,1,75,155,176,141,155,8,206,249,248,232,140
1001281,청평화시장,3360,2011,1349,2,907,1308,791,250,102,1,585,747,505,120,53,1,322,561,286,130,49
1001280,제일평화시장,570,325,245,0,108,162,128,102,70,0,48,99,76,56,46,0,60,63,52,46,24
1001278,남평화시장,200,123,77,0,17,37,39,73,34,0,12,18,27,43,23,0,5,19,12,30,11
1001277,방산종합시장,1879,1180,699,3,151,416,481,496,332,1,86,274,285,295,239,2,65,142,196,201,93
1001275,인현시장,1084,665,419,1,67,190,294,323,209,0,29,93,178,209,156,1,38,97,116,114,53
1001274,신중부시장,2437,1607,830,7,205,445,683,652,445,4,106,294,447,431,325,3,99,151,236,221,120
1001273,남대문시장,7146,3645,3501,45,1137,2611,1936,957,460,2,356,1304,1039,619,325,43,781,1307,897,338,135
1001271,동묘시장,903,568,335,3,116,192,226,224,142,2,44,124,151,144,103,1,72,68,75,80,39
1001270,창신골목시장,223,116,107,0,21,93,54,43,12,0,10,43,29,25,9,0,11,50,25,18,3
1001268,충신시장,297,182,115,0,42,86,70,60,39,0,17,51,41,40,33,0,25,35,29,20,6
1001267,종로신진시장,39,19,20,0,0,6,12,9,12,0,0,2,6,2,9,0,0,4,6,7,3
1001266,동대문종합시장,320,185,135,2,55,72,90,58,43,1,30,34,59,33,28,1,25,38,31,25,15
1001265,광장시장,204,152,52,0,15,37,36,64,52,0,11,29,25,46,41,0,4,8,11,18,11
1001263,서울 노원구 노원역_3,775,329,446,12,223,145,151,142,102,2,78,76,67,52,54,10,145,69,84,90,48
